Synonym	ID	Precursor m/z	Mass error (ppm)	RT (min)	Formula	Adduct	Tanimoto similarity	InChIKey planar	log2(FC)	P-value	Q-value	Class
6-[(2-O-alpha-L-Rhamnopyranosyl-beta-D-glucopyranosyl)oxy]cleroda-3,14-diene-13-ol	1869	615.3735	-0.7	4.7	C32H54O11	[M + H]+	0.54	ONLXJASEXIXGRM	0.640262866422442	0.000298505339595314	0.0141382983571962	Diterpene glycosides
1-(9Z-octadecenyl)-sn-glycero-3-phosphoethanolamine	939	466.3335	9.2	7.2	C23H48NO6P	[M + H]+	0.67	CDONWGCJDDHTLP	-0.447465247450158	0.000305018150903048	0.0142615537992746	Monoalkylglycerophosphoethanolamines
(1S,2S)-1,2-Cyclohexanediacetic acid	3021	223.0933	-3.7	3.7	C10H16O4	[M + Na]+	0.52	VWLPAWSXKLKROQ	0.562045467467314	0.000318926219064078	0.0143110885798796	Dicarboxylic acids and derivatives
Diphenhydramine-N-glucuronide	3758	432.2007	-2.3	3.8	C23H29NO7	[M + H]+	0.68	OAIGZXXQYIJBLR	-2.42706245283266	0.000342201161328804	0.0145117166903041	Glucuronic acid derivatives
(4E)-6-(4,6-dimethoxy-7-methyl-3-oxo-1,3-dihydro-2-benzofuran-5-yl)-4-methylhex-4-enoic acid	6780	357.1298	-3.1	5.7	C18H22O6	[M + Na]+	0.7	KPDDZPBBEIESMK	-4.6932344482984	0.000390190984796997	0.0158114057950516	Phthalides
Aminohippurate	2744	195.0765	0.3	0.7	C9H10N2O3	[M + H]+	0.57	HSMNQINEKMPTIC	1.06433645775744	0.000420988880784064	0.0163334728533988	Hippuric acids and derivatives
Myristoyllysophosphatidylcholine	1356	490.2896	-1.8	5.9	C22H46NO7P	[M + Na]+	0.99	VXUOFDJKYGDUJI	-0.505372218188077	0.000476899651057586	0.0173925302740702	Lysophosphatidylcholines
cis-3-hydroxydodec-9-enoylcarnitine	1892	358.258	-2.3	4.6	C19H35NO5	[M + H]+	0.56	PKPXVGIKUXUYEF	0.738868345640232	0.000529695875499192	0.0187553481353937	Beta hydroxy acids and derivatives
Haematoporphyrin	1925	599.2853	-1.8	5.1	C34H38N4O6	[M + H]+	0.6	KFKRXESVMDBTNQ	1.02563120650345	0.000556358301570835	0.019324178341227	Porphyrins
(2S)-6-amino-2-[[(2S)-2-[[(2S)-2-[(2-aminoacetyl)amino]-3-methylbutanoyl]amino]-3-hydroxypropanoyl]amino]-N-[(2S)-1-oxo-1-[[(2S)-1-oxopropan-2-yl]amino]-3-phenylpropan-2-yl]hexanamide	986	592.3447	-1.2	6.5	C28H45N7O7	[M + H]+	0.56	ZDJRCWULNIPMON	-0.484790772525068	0.000564254164106675	0.0194135371367646	Oligopeptides
aspartylphenylalanin	2322	281.1115	-6	1	C13H16N2O5	[M + H]+	0.81	YZQCXOFQZKCETR	0.698187969539377	0.000573833315251568	0.0195585990721726	Dipeptides
2-amino-4-methylpimelic acid	3362	212.0901	3.8	0.4	C8H15NO4	[M + Na]+	0.56	ZTLDTRZYHPXXPS	0.596677141526875	0.000628986412334696	0.0206658868989607	Alpha amino acids and derivatives
Pyroglutamylleucine	1727	243.134	0.4	1.8	C11H18N2O4	[M + H]+	0.72	XXSAFGVAPGOYNT	1.04322247346319	0.000635653906416305	0.0206984803276809	Dipeptides
19-Dfdat	3981	592.3197	-8.3	4.2	C30H51NO8	[M + K]+	0.5	HRTZUWRKGGQZSS	1.26149723276729	0.000680731577328215	0.0217774391448772	Aminoglycosides
Nalpha-[(2E)-3-methylhex-2-enoyl]-L-glutamine	3261	257.1495	-0.3	2.9	C12H20N2O4	[M + H]+	0.83	AUBGCRXOZPJJJG	0.906091039549726	0.000760887969307695	0.0234601417426406	Alpha amino acids and derivatives
Goshonoside F7	4217	631.3682	-1.1	4.4	C32H54O12	[M + H]+	0.53	HILPXFUUVMCHIZ	0.597173119160781	0.000923355818927295	0.0249983157847257	Diterpene glycosides
[(2S)-2-heptanoyloxy-3-[(2R,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxypropyl] decanoate	7457	543.3134	-1.2	4.2	C26H48O10	[M + Na]+	0.63	KEBYFNGQBZSBNI	0.642552881892175	0.000868381827337712	0.0249983157847257	NA
Cortolone-3-glucuronide	2002	543.2789	-2	4	C27H42O11	[M + H]+	0.81	OKNSFVSKHQJVRN	0.642552881892175	0.000868381827337712	0.0249983157847257	Steroidal glycosides
1-Arachidoyl-sn-glycero-3-phosphocholine-d4	1607	552.4038	2.5	8	C28H58NO7P	[M + H]+	1	UATOAILWGVYRQS	-0.471603887415976	0.0009048416514403	0.0249983157847257	Lysophosphatidylcholines
Triolone	5153	351.2523	-2	4.5	C21H34O4	[M + H]+	0.79	XBKMYUZPSUAVAK	0.837341211802618	0.000925355807770212	0.0249983157847257	Gluco/mineralocorticoids, progestogins and derivatives
Adipoylcarnitine	1516	290.159	-2.8	0.5	C13H23NO6	[M + H]+	0.84	BSVHAXJKBCWVDA	0.727593711232543	0.000954954746942249	0.025237101174626	Acyl carnitines
Glycerophosphocholine	1000	258.1095	-2.5	0.3	C8H20NO6P	[M + H]+	0.92	SUHOQUVVVLNYQR	-0.616699610330023	0.000952466258125471	0.025237101174626	Glycerophosphocholines
2-(Acetylamino)-6-amino-4-hexenoic acid	1107	209.0892	-2.4	0.5	C8H14N2O3	[M + Na]+	0.52	VOLMYNNEVGLNMS	0.518976145279714	0.00137808763967681	0.0328198647150068	Alpha amino acids and derivatives
(1S,2S,4S,4'S,6R,7S,8R,9S,12S,13S,14S,15S,16S,17S,18S,19R,20S)-7,9,13-trimethyl-5'-methylidenespiro[5-oxapentacyclo[10.8.0.02,9.04,8.013,18]icosane-6,2'-oxane]-4',14,15,16,17,18,19,20-octol	3409	527.2858	1.3	3.8	C27H42O10	[M + H]+	0.57	VMRTWCCKWMUGSN	0.648588060756123	0.0014700804169758	0.0341489380936991	Triterpenoids
Agamenoside J	2010	611.3789	-0.2	4.9	C33H54O10	[M + H]+	0.61	DHQWUUFYWUJBRL	0.501016944540527	0.00151690198467253	0.0345657293103032	Steroidal glycosides
testosterone-beta-d-glucuronide	3256	465.2475	-1.7	4.1	C25H36O8	[M + H]+	0.8	NIKZPECGCSUSBV	0.776639556944093	0.00158189158371026	0.034675082153322	Steroid glucuronide conjugates
1-pentadecanoyl-sn-glycero-3-phosphocholine	886	482.3242	0.2	6.3	C23H48NO7P	[M + H]+	1	RJZVWDTYEWCUAR	-0.4161780386335	0.00158310346869653	0.034675082153322	Lysophosphatidylcholines
9-oxooctadecanoate	1364	299.2579	-0.6	9.1	C18H34O3	[M + H]+	0.56	KNYQSFOUGYMRDE	-0.762171493421762	0.00159872704784147	0.0347056996635586	Long-chain fatty acids
Chamene	4294	159.1161	10.3	3.9	C10H16	[M + Na]+	0.5	MQFGIUKCEOGIGS	-1.95234376346862	0.00177555730611821	0.0374303901468966	Branched unsaturated hydrocarbons
lyso-PAF	838	482.3591	-2.9	6.8	C24H52NO6P	[M + H]+	1	VLBPIWYTPAXCFJ	-0.393968194538561	0.0017711029158189	0.0374303901468966	Monoalkylglycerophosphocholines
(2-decanoyloxy-3-octanoyloxypropyl) pentadecanoate	1620	597.509	0.1	9.2	C36H68O6	[M + H]+	0.62	WFJYCOLSNJWRQK	-0.736443503404925	0.00180749767138068	0.0376682514715733	Triacylglycerols
Anhydroretinol	1078	269.2251	-4.8	7.8	C20H28	[M + H]+	0.56	FWNRILWHNGFAIN	-0.459449953065629	0.00184522706739295	0.0382360404248982	Sesquiterpenoids
indoleacrylate	805	188.0705	-0.5	0.9	C11H9NO2	[M + H]+	0.85	PLVPPLCLBIEYEA	-0.355066339010378	0.00191408604600658	0.0385672475678784	Indoles
Skatole	1574	132.0802	-4.7	0.9	C9H9N	[M + H]+	0.76	ZFRKQXVRDFCRJG	-0.344612926249954	0.0019778647190354	0.039416790329629	Indoles
(2R,3R,4S,5S,6R)-2-[(1S,2S,3'S,4S,4'R,5'S,6S,7S,8S,9R,12S,13S,16S,18S)-3',16-dihydroxy-5',7,13-trimethylspiro[5-oxapentacyclo[10.8.0.02,9.04,8.013,18]icosane-6,2'-oxane]-4'-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol	1910	597.3631	-0.4	4.7	C32H52O10	[M + H]+	0.61	BQHIVNPPGHBFPC	0.555111468262681	0.00200966174889688	0.0397336639265382	Steroidal glycosides
(2S,9S)-9-hydroxy-2-[(1R)-1-hydroxy-3-[(3S)-3-hydroxyspiro[4.4]nonan-3-yl]propyl]hexadecanoic acid	951	469.3897	1.9	8.3	C28H52O5	[M + H]+	0.6	UFLNXVJKZIUIOQ	-0.588907030406792	0.0020471203237832	0.0397336639265382	Long-chain fatty acids
S,S-Warfarin alcohol	866	311.1279	0.3	5.1	C19H18O4	[M + H]+	0.66	ZUJMMGHIYSAEOU	2.43161451816907	0.00205913421500294	0.0397336639265382	Hydroxycoumarins
2-[[(2S)-2-[[2-[[2-[[(2S)-4-amino-2-[[(2S)-2-[(2-aminoacetyl)amino]-3-phenylpropanoyl]amino]-4-oxobutanoyl]amino]acetyl]amino]acetyl]amino]-3-phenylpropanoyl]amino]acetic acid	5282	655.2817	-2.7	3.4	C30H38N8O9	[M + H]+	0.6	SDGGGFLMSUCLAU	1.65853395251248	0.00214403056153588	0.0407583433590805	NA
Erucylamide	30	338.3423	1.5	9.1	C22H43NO	[M + H]+	0.91	UAUDZVJPLUQNMU	-0.571134119888651	0.00214576416916464	0.0407583433590805	Fatty amides
1-Amhn	2666	293.1377	6.8	4.8	C12H16N6O3	[M + H]+	0.59	OFTZXSNXKYDMIL	1.35916733421492	0.00226433577047152	0.0410847390791525	Nitroimidazoles
Racumin	5238	293.1175	0.8	4.8	C19H16O3	[M + H]+	0.61	ULSLJYXHZDTLQK	1.35916733421492	0.00226433577047152	0.0410847390791525	Hydroxycoumarins
4,7-dimethoxy-1-vinyl-9H-beta-carboline	2690	255.1123	-2.2	4.5	C15H14N2O2	[M + H]+	0.5	DYAZDMVYCGBHNX	0.5459597230287	0.00229930526107561	0.0411057170938371	Harmala alkaloids
(9Z,12Z,15Z)-octadeca-9,12,15-trienal	2437	263.2378	3.2	8.8	C18H30O	[M + H]+	0.57	TUCMDDWTBVMRTP	-0.418404577939401	0.0023200598386785	0.0412417152954135	Fatty aldehydes
1-dihomo-linoleoyl-GPC	854	548.3734	4.2	6.9	C28H54NO7P	[M + H]+	0.89	YYQVCMMXPIJVHY	-0.387903878126905	0.00236809539789531	0.0417219512856241	Lysophosphatidylcholines
beta-Indolylaldehyde	1051	146.0603	1.6	0.9	C9H7NO	[M + H]+	0.76	OLNJUISKUQQNIM	-0.320143940508498	0.00260017990494984	0.0446596615159909	Indoles
1-(1Z-hexadecenyl)-2-(5Z,8Z,11Z,14Z,17Z-eicosapentaenoyl)-glycero-3-phosphoethanolamine	2300	722.5133	1.9	8.9	C41H72NO7P	[M + H]+	0.9	RLLOITCRNQRGJD	-0.678118700413791	0.00261470223787595	0.0446596615159909	Glycerophosphoethanolamines
1-o-hexadecyl-2-butenoyl-sn-glycero-3-phosphocholine	826	572.3735	8.4	6.8	C28H56NO7P	[M + Na]+	0.81	SRZBVCCSIMMDOV	-0.424825340023613	0.00262055595405047	0.0446596615159909	Glycerophosphocholines
Androsta-3,5-dien-17-one	1352	271.2047	-3.6	4.5	C19H26O	[M + H]+	0.77	NINLAYUXSUKKHW	-0.613071631404936	0.00267327667905884	0.0453462327838493	Androstane steroids
(2E,5Z,7E)-decatrienoylcarnitine	957	310.2006	-2.4	3.9	C17H27NO4	[M + H]+	0.61	DUQXBEFMRJGSKH	0.53780416821337	0.00313829558854374	0.0506432035903497	Fatty acid esters
N-lauroyl-D-erythro-sphingosylphosphorylcholine	1500	647.512	-0.4	8.8	C35H71N2O6P	[M + H]+	1	HZCLJRFPXMKWHR	-0.452097275532437	0.0033631292223312	0.0536859063161029	Sphingomyelins
cis-5,8,10,12,14-eicosapentaenoic acid	1241	303.2311	-2.6	7.5	C20H30O2	[M + H]+	0.81	QQXWWCIEPUFZQL	-0.397950324171627	0.00351336143200765	0.0547961238218998	Long-chain fatty acids
1-Octadecyl-sn-glycero-3-phosphocholine	988	510.3936	3.6	7.5	C26H56NO6P	[M + H]+	0.9	XKBJVQHMEXMFDZ	-0.423288404643494	0.00356398864655033	0.0553100706126342	Monoalkylglycerophosphocholines
2(rs)-n-propylthiazolidine-4(r)-carboxylic acid	828	176.0731	-4.8	0.7	C7H13NO2S	[M + H]+	0.56	QIJPWSGHURHDHJ	-0.846512629029184	0.00379867531764349	0.0568171884509348	Alpha amino acids and derivatives
(3R,4S,5R,6R,7R,9S,11R,12S,13R,14R)-4-(4,5-dihydroxy-4,6-dimethyloxan-2-yl)oxy-14-ethyl-6,7,9,12-tetrahydroxy-3,5,7,9,11,13-hexamethyl-oxacyclotetradecane-2,10-dione	4558	601.3006	3.5	4.4	C28H50O11	[M + K]+	0.56	LEJQKFJNVBKYRN	0.953071368694037	0.00383412490297333	0.0570736878414029	Macrolides and analogues
butiin	1873	216.0683	8.5	0.5	C7H15NO3S	[M + Na]+	0.59	CBFHOPPJBYHALQ	1.09471764471772	0.0038821901304748	0.0575542577473236	Alpha amino acids and derivatives
docosa-9,12,15-trien-1-ol	1117	321.3158	2	9.1	C22H40O	[M + H]+	0.53	IMPZVLZIUHHRGF	-0.560080689144309	0.00404562594003082	0.0583486505975895	Fatty alcohols
Tiglylcarnitine	2235	244.1538	-2.3	1.2	C12H21NO4	[M + H]+	0.77	WURBQCVBQNMUQT	0.528122382604702	0.0042815760130003	0.0598560308142288	Fatty acid esters
8-Methoxykynurenate	4730	220.0608	1.8	2.6	C11H9NO4	[M + H]+	0.7	BXZSKDOPGDPDEG	0.913370184300442	0.0047392634431569	0.0647344336224464	Quinoline carboxylic acids
Palmitoyllysophosphatidylcholine	116	496.3397	-0.2	6.6	C24H50NO7P	[M + H]+	1	ASWBNKHCZGQVJV	-0.219535010198578	0.00484750415997146	0.0652356002635274	Lysophosphatidylcholines
12-(9Z-hexadecenoyloxy)-octadecanoic acid	3176	559.4715	3.1	8.9	C34H64O4	[M + Na]+	0.55	XSYATLPMKFNWBI	-0.58027801494795	0.00492752968932439	0.065951212474453	Long-chain fatty acids
HDCA-24G	1059	591.3171	5.3	4.2	C30H48O10	[M + Na]+	0.53	GSKDKHGYQRRKMF	1.09352443922399	0.00538059095891757	0.0690951240393393	Steroid glucuronide conjugates
tryptophanium	808	205.0963	-4	0.9	C11H12N2O2	[M + H]+	1	QIVBCDIJIAJPQS	-0.320382487787298	0.00548936353449386	0.0697550829627146	Indolyl carboxylic acids and derivatives
photochlorine	2404	597.2706	-0.4	5.8	C34H36N4O6	[M + H]+	0.63	OYINILBBZAQBEV	1.15729367646409	0.00560522058107294	0.0709799981221286	Chlorins
1-(1Z-octadecenyl)-sn-glycero-3-phosphocholine	1215	508.3738	-4.6	7.5	C26H54NO6P	[M + H]+	1	WBOMIOWRFSPZMC	-0.36901953918607	0.00581015877997058	0.0728166634726897	Glycerophosphocholines
15-Hexadecenoic acid	6856	277.2162	8.8	6.6	C16H30O2	[M + Na]+	0.67	HVODZEXFHPAFHB	0.546131984867598	0.00588498109871862	0.0730493334622835	Long-chain fatty acids
indolepropionate	3005	190.0846	-8.8	3.9	C11H11NO2	[M + H]+	0.89	GOLXRNDWAUTYKT	-0.551660557716929	0.00597663992962515	0.0736378575112937	Indolyl carboxylic acids and derivatives
Bipindogenin-D-digitalosid	1944	589.3008	4.2	4.6	C30H46O10	[M + Na]+	0.52	IGCZNTHBCXYVIT	0.762976197883216	0.00600315322872342	0.0737154876267822	Cardenolide glycosides and derivatives
Llu-alpha	4920	265.1431	-1.4	3.7	C15H20O4	[M + H]+	0.51	VMJQLPNCUPGMNQ	0.600873610458601	0.00611654062939803	0.0742705862207208	Benzopyrans
hypoxanthine	999	137.0452	-4.6	0.3	C5H4N4O	[M + H]+	0.93	FDGQSTZJBFJUBT	-0.601484869047432	0.00620835576432751	0.0748071186107988	Hypoxanthines
17-Hydroxyandrostane-3-glucuronide	2657	491.2629	2.8	3.9	C25H40O8	[M + Na]+	0.63	GYNWSIBKBBWJJW	0.4082167741306	0.00702036452812056	0.0815390746307506	Steroid glucuronide conjugates
CRBZVDLXAIFERF-UHFFFAOYSA-	3203	197.0803	-2.6	4.3	C10H12O4	[M + H]+	0.62	CRBZVDLXAIFERF	0.360286480416211	0.00705775481559295	0.0817131168649761	Benzoyl derivatives
25(S)-Hydroxyprotopanaxatriol	1440	495.4033	-2.3	8.5	C30H54O5	[M + H]+	0.64	NGIMOASJKTUVOD	-0.4794100300812	0.0072231244388875	0.0825791060458392	Triterpenoids
(2S)-2-amino-5-oxo-5-[[(2S)-3-oxohexan-2-yl]amino]pentanoic acid	2253	245.1487	-3.5	2.4	C11H20N2O4	[M + H]+	0.74	PYSJONOJEKCVCZ	0.56381544440792	0.00729005387206809	0.083083832723226	Alpha amino acids and derivatives
H87-07	1893	284.1855	-0.4	1.7	C15H25NO4	[M + H]+	0.63	FGAPARDHTDKREN	0.768485188298902	0.0074618207173286	0.0842515794306421	Phenol ethers
mannosylglycerate	2097	291.0688	0.4	0.4	C9H16O9	[M + Na]+	0.57	DDXCFDOPXBPUJC	-0.58349237639936	0.00780349704616438	0.0867278334309083	Fatty acyl glycosides of mono- and disaccharides
[(2S,3R,5R,9R,10R,13R,14S,17S)-17-[(2R,3R,6R)-3-acetyloxy-2,6,7-trihydroxy-6-methylheptan-2-yl]-3,14-dihydroxy-10,13-dimethyl-6-oxo-2,3,4,5,9,11,12,15,16,17-decahydro-1H-cyclopenta[a]phenanthren-2-yl] acetate	1922	603.3168	4.6	5	C31H48O10	[M + Na]+	0.51	GFXSCYFAJXZMRJ	0.820247635193065	0.00782381606766351	0.0867278334309083	Pentahydroxy bile acids, alcohols and derivatives
7-oxoglycolithocholate	2950	448.3053	-1.1	4.4	C26H41NO5	[M + H]+	0.89	MOZIKWXTNVWDAB	0.722675080841289	0.00828638478049426	0.0888836626307722	Glycinated bile acids and derivatives
N-Oleylacetamide	892	310.3109	1.3	8.5	C20H39NO	[M + H]+	0.56	QKCHSPUVEKYPFE	-0.636708435311773	0.00828386867586294	0.0888836626307722	Acetamides
Heptadecanoyllysophosphatidylcholine	889	510.3541	-2.5	6.9	C25H52NO7P	[M + H]+	1	SRRQPVVYXBTRQK	-0.374976028450935	0.00826105054178827	0.0888836626307722	Lysophosphatidylcholines
Benzeneacetic acid, a-methyl-4-(2-methyl-1-propen-1-yl)-	5727	205.1205	-8.9	4.3	C13H16O2	[M + H]+	0.56	QXHUNSIVQWFRQU	-0.648000164268382	0.00836796252928079	0.0892337992523013	NA
carbobenzoxy-leucyl-arginine	4394	444.2177	-9.1	3.3	C20H31N5O5	[M + Na]+	0.55	KFBDTHSSJMQGMW	-0.59759206060659	0.00864231934428645	0.0908315234830337	Dipeptides
IRAK4-IN-7	5739	418.1621	-0.4	3.1	C21H19N7O3	[M + H]+	0.53	RWIMETUXCNDSLE	-4.01305278289141	0.00872120224399866	0.0913045191849897	Bipyridines and oligopyridines
