Synonym	ID	Precursor m/z	Mass error (ppm)	RT (min)	Formula	Adduct	Tanimoto similarity	InChIKey planar	log2(FC)	P-value	Q-value	Class
methyl (4S)-4-[(3S,5S,6S,7R,8S,9S,10R,12S,13R,14S,17R)-3,6,7,12-tetrahydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoate	2379	437.2903	-1.3	21.8	C25H42O6	[M - H]-	0.56	SYHUKNSTHJICMX	3.48157720160199	0.000910528716143314	0.0106255817146317	Tetrahydroxy bile acids, alcohols and derivatives
Klyxumine A	1778	455.2645	-1.1	20.2	C24H40O8	[M - H]-	0.51	MXPJWUTXZSOEAT	3.12542672581463	0.000949055958717786	0.0108815954723329	Eunicellane and asbestinane diterpenoids
Asebotoxin I	1751	425.2541	-1	20.8	C23H38O7	[M - H]-	0.52	UVIOAKNWFGGRCJ	1.58510727475684	0.00101890038304372	0.0114748650125317	Leucothol and grayanotoxane diterpenoids
(1S,2R,4aR,6aR,6aS,6bR,8aS,12aR,14bS)-1-hydroxy-1,6b,9,9,12a-pentamethyl-8,10-dioxo-3,4,5,6,6a,6a,7,8a,11,12,13,14b-dodecahydro-2H-picene-2,4a-dicarboxylic acid	785	499.2697	-0.9	22.7	C29H40O7	[M - H]-	0.59	SYUSCNJPCSQFSK	-0.911115198600316	0.00102879455037165	0.0114859789844523	Dicarboxylic acids and derivatives
(2R)-3-[(2S,3S,4R)-3,4-dihydroxy-5-oxooxolan-2-yl]-2-hydroxypropanoic acid	778	205.0342	-5.6	1.1	C7H10O7	[M - H]-	0.64	FHTUHRLYAPRFEZ	-1.03190075141941	0.00107607221618606	0.0117229712607311	Sugar acids and derivatives
(1S,4aS,7S,7aS)-7-hydroxy-4-methoxycarbonyl-1-[(2R,3S,4R,5R,6S)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4a,7a-dihydro-1H-cyclopenta[c]pyran-7-carboxylic acid	854	417.1036	-0.6	4.8	C17H22O12	[M - H]-	0.7	MLZKYGRNLPVMHX	0.864632134464248	0.00111866469551297	0.0120712813796148	Iridoid O-glycosides
ethyl (1S,4aS,6S,7R,7aS)-6-hydroxy-7-methyl-1-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-1,4a,5,6,7,7a-hexahydrocyclopenta[c]pyran-4-carboxylate	945	403.1605	-1.3	2.6	C18H28O10	[M - H]-	0.5	MQSFSEGMDJUVRU	-1.3914167018064	0.00122140547060317	0.0130705589572015	Iridoid O-glycosides
Oxypaeoniflorin	771	495.1505	-0.7	13.1	C23H28O12	[M - H]-	0.57	FCHVXNVDFYXLIL	-0.909026657464707	0.00125430454336022	0.0130965644426154	Terpene glycosides
plantagineoside C	1060	507.1864	-1.6	18.1	C25H32O11	[M - H]-	0.56	KNGLPVKCHBEQMT	-1.51098951598125	0.00123821608181524	0.0130965644426154	Linear diarylheptanoids
7,8-diketopelargonic acid	819	185.0808	-6	12.2	C9H14O4	[M - H]-	0.66	LUCODFUPVSYZRC	0.740455670789284	0.00125227519940879	0.0130965644426154	Medium-chain keto acids and derivatives
(2S,3S,4R,5R,6S)-2-[[(3R,3aS,6S,6aR)-3,6-bis(4-hydroxy-3,5-dimethoxyphenyl)-3,4,6,6a-tetrahydro-1H-furo[3,4-c]furan-3a-yl]oxy]-6-(hydroxymethyl)oxane-3,4,5-triol	577	595.2025	-1.2	15.8	C28H36O14	[M - H]-	0.56	OCUPPIIMZPHETJ	-0.894631767059219	0.00124509144158228	0.0130965644426154	Lignan glycosides
(3aR,4S,5R,7aR)-4,5-Dihydroxy-6-methyl-3a,4,5,7a-tetrahydro-1,3-benzodioxole-2-one	528	185.0446	-4.9	1.9	C8H10O5	[M - H]-	0.5	GVLJZCSVFFYGON	-0.76432075178472	0.00133007362405835	0.013721039505786	Carbonic acid diesters
(-)-11-Hydroxy-9,15,16-trioxooctadecanoic acid	459	341.1964	-1.7	19.9	C18H30O6	[M - H]-	0.55	DRPDZKNSZVIOQR	0.760046828430064	0.00137752134536604	0.0140420061252926	Long-chain fatty acids
Cellobiosan	2345	323.098	-1.1	1.5	C12H20O10	[M - H]-	0.75	LTYZUJSCZCPGHH	1.12140760635568	0.00137751667000799	0.0140420061252926	O-glycosyl compounds
Muralioside	1210	379.1244	-0.6	4.6	C15H24O11	[M - H]-	0.61	DCMBJUSPXCDZSO	-1.03814756651037	0.00138552439398379	0.0140679819373394	Iridoid O-glycosides
Botryosphaerinone	555	209.1175	-3.9	18.7	C12H18O3	[M - H]-	0.63	AUAYBDNKDWXWEX	-1.11079692698504	0.00141307614446641	0.0142414802246942	Cyclic ketones
13-(3,5-Dihydroxyphenyl)-12-acetoxytridecan-6-one	596	363.2148	-7.9	23.9	C21H32O5	[M - H]-	0.5	NKOQQNIPHFLJDL	-2.21392816982894	0.00141365604401772	0.0142414802246942	Fatty alcohol esters
2',6'-Dihydroxy-3'-methylacetophenone	504	165.0548	-5.8	3	C9H10O3	[M - H]-	0.52	QAWBTVDBXWOTRD	-0.732644582466491	0.00165356548774523	0.0163392543789079	Aryl ketones
2-O-alpha-d-glucopyranosyl-d-xylose	738	311.0977	-2.2	1.1	C11H20O10	[M - H]-	0.76	AXHPKHDTOXXPGU	-0.975994336750766	0.00168815509716913	0.0166173740290046	Fatty acyl glycosides of mono- and disaccharides
3-(2,5-dihydroxyphenyl)prop-2-enal	1653	163.0388	-7.7	12.2	C9H8O3	[M - H]-	0.56	NFZXTKAGXSVCRD	1.02858109736447	0.00175152951209678	0.0171756449113977	Cinnamaldehydes
Wikstroemol	857	405.1549	-1.6	17.4	C21H26O8	[M - H]-	0.55	JVQPMSYMHZSFNV	-0.796346317722263	0.00176770272738469	0.0172685808103224	Lignans, neolignans and related compounds
m-Hydroxybenzaldehyde	631	121.0282	-11	10.1	C7H6O2	[M - H]-	0.78	IAVREABSGIHHMO	0.755261027466205	0.00180919896594657	0.0176072608799102	Benzoyl derivatives
4,5-dihydroxy-3-methoxy-6-[4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxane-2-carboxylic acid	2349	369.1038	-0.3	1.5	C13H22O12	[M - H]-	0.61	WRWIKVNJQWUUJX	2.13679273376161	0.00186226912220201	0.0178445002190885	Glucuronic acid derivatives
6,11-dioxododecanoic acid	595	227.1282	-3	18.7	C12H20O4	[M - H]-	0.69	OIAVTFGRDNUKCM	-1.14966029848572	0.00202389792622532	0.0189117128686054	Medium-chain keto acids and derivatives
Threose	427	119.0336	-11.2	0.9	C4H8O4	[M - H]-	0.83	YTBSYETUWUMLBZ	-3.66869610130482	0.00203557693997074	0.018941629966359	Monosaccharides
Macedonine	599	213.076	-3.9	6.9	C10H14O5	[M - H]-	0.56	DIIADJQOLFWUFJ	-0.926356729956638	0.00207409026961287	0.0191038528761843	Iridoids and derivatives
5-Acetyl-2-thiopheneboronicacid	467	215.0554	-3.4	2.6	C9H12O6	[M - H]-	0.51	FTHDNRBKSLBLDA	-0.822283950838907	0.00243358374720289	0.02156774049497	Tricarboxylic acids and derivatives
Threonate	284	135.0286	-9.8	1	C4H8O5	[M - H]-	0.88	JPIJQSOTBSSVTP	-0.717011892681778	0.00246006540146602	0.0217277694191126	Sugar acids and derivatives
beta-D-Glucopyranoside, 3,5-dihydroxyphenyl, 6-(3,4,5-trihydroxybenzoate)	1023	439.0854	-6.5	8	C19H20O12	[M - H]-	0.55	WVHDGXKUZIDTIN	0.690825977225617	0.00248195643042069	0.0218462990923377	Phenolic glycosides
YOEUNKPREOJHBW-UHFFFAOYSA-	1247	165.0183	-6.5	7.8	C8H6O4	[M - H]-	0.56	YOEUNKPREOJHBW	0.710344405057992	0.00249980121111964	0.0219285283111481	Benzoic acids
5-Vinylresorcinol	1265	135.0439	-9.2	16.2	C8H8O2	[M - H]-	0.63	LYECQNYXCRATFL	2.15855545908635	0.00257545770305813	0.0223435791349582	Resorcinols
Cyclopassifloic acid E	1739	551.3581	-1.6	23.8	C31H52O8	[M - H]-	0.57	DXAVXXNAJINCIJ	3.20020673980764	0.00268700064300948	0.0230225071705031	Cycloartanols and derivatives
9,12,13-Trihydroxyoctadec-10-enoic acid	229	329.2328	-1.6	20.6	C18H34O5	[M - H]-	0.73	MDIUMSLCYIJBQC	-0.700106403105528	0.00274787775155858	0.0233887020503947	Long-chain fatty acids
1jlx	652	472.1815	-2	12.3	C21H31NO11	[M - H]-	0.54	MYDRTQFLXCNCAG	-0.68721192622638	0.00295620352465633	0.0248340354726016	N-acyl-alpha-hexosamines
Crescentin II	266	201.0761	-4	2.6	C9H14O5	[M - H]-	0.63	HYJIDONKRRKLEJ	-0.615465622706878	0.00299574595982803	0.0249226736464403	Iridoids and derivatives
Gallicynoic Acid E	372	325.2017	-1.2	21.2	C18H30O5	[M - H]-	0.56	IRDUBXGVWQSMKQ	-1.51801248973962	0.00302835279654875	0.0251129320331165	Long-chain fatty acids
2-dec-4-enyl-3-hydroxypentanedioic acid	1708	285.1704	-1.4	18	C15H26O5	[M - H]-	0.52	XHJITGZAWUNULF	0.725171993576718	0.00317332341942881	0.0259809558689108	Long-chain fatty acids
2-(2-methoxyethoxy)propanoic Acid	526	147.0652	-7.2	3.7	C6H12O4	[M - H]-	0.5	JIXHYWCLUOGIMM	-0.687135181003907	0.00338842737830796	0.0272235333602997	Carboxylic acids
6-(2-Oxocyclopentyl)hexanoic acid	712	197.1174	-4.8	19.2	C11H18O3	[M - H]-	0.52	PGTPCJJMOJCWHV	-1.02806518114215	0.0034194091771441	0.0273871312666293	Medium-chain fatty acids
7-hydroxysecoisolariciresinol	928	377.16	-1.6	15.8	C20H26O7	[M - H]-	0.55	VPDBTIFHPUYJJJ	-0.671365328106291	0.0034847294527548	0.0277380162304156	Dibenzylbutanediol lignans
Asaolaside	1120	613.2129	-1.5	12.5	C28H38O15	[M - H]-	0.51	PNJYEHPHHQUERT	-0.848526516084391	0.00355069728226632	0.0280897186839412	Terpene glycosides
Heptose	640	209.0657	-4.9	1.1	C7H14O7	[M - H]-	0.63	YPZMPEPLWKRVLD	-0.663332319115254	0.0036134522816844	0.0284118702270246	Heptoses
(-)-8-hydroxyjasmonic acid	845	225.1125	-3.2	13	C12H18O4	[M - H]-	0.69	IQGLAWZCMQYBPA	-0.61852510278458	0.00363660204501279	0.0285069807723039	Jasmonic acids
nonanedioate	1683	187.0965	-5.9	16.6	C9H16O4	[M - H]-	0.54	BDJRBEYXGGNYIS	-0.887348888916289	0.00364782099428618	0.0285082737704972	Medium-chain fatty acids
4-(beta-D-Glucopyranosyloxy)-5'-[6-O-[(2R)-3alpha,4alpha-dihydroxy-4-(hydroxymethyl)tetrahydrofuran-2beta-yl]-beta-D-glucopyranosyloxy]-trans-stilbene-2,3'-diol	721	699.2135	-1	14.1	C31H40O18	[M - H]-	0.51	WHSZKNNBJANJCB	-0.652819173788571	0.00366327639190843	0.0285425674161083	Fatty acyl glycosides of mono- and disaccharides
