# Original ID	# EFS_Rank	# MW_Rank	# Spectral_Library_Match	Synonym	ID	Precursor m/z	Mass error (ppm)	RT (min)	Formula	Adduct	Tanimoto similarity	InChIKey planar
2532	7	46	NA	N-{[2-(pyridin-4-ylcarbonyl)hydrazino]carbonyl}hexopyranosylamine	630	365.1043	-6.8	0.3	C13H18N4O7	[M + Na]+	0.51	KPGYIOMDVKQYDK
143	26	115	TOP 8 Psoriasis feature - Unknown FeatureID=4262	null	897	438.2993	3.2	6.6	C21H44NO6P	[M + H]+	0.52	LQICBGFMERKBCG
119	66	23	Decanoyl-L-carnitine	Tocris-0477	989	316.2469	-4.2	4.9	C17H33NO4	[M + H]+	0.99	LZOSYCMHQXPBFU
746	2	67	NA	Acisoga	981	207.1099	-2.7	0.7	C9H16N2O2	[M + Na]+	0.39	OAUYENAPBFTAQT
731	21	131	NA	null	1869	615.3735	-0.7	4.7	C32H54O11	[M + H]+	0.54	ONLXJASEXIXGRM
1947	15	321	NA	Carnidazol	2045	245.0691	-4.7	0.4	C8H12N4O3S	[M + H]+	0.41	OVEVHVURWWTPFC
1231	31	106	NA	L-Hypro-d3	1183	154.0459	-9.9	0.4	C5H9NO3	[M + Na]+	0.44	PMMYEEVYMWASQN
1363	10	168	NA	5,11,14-Eicosatrienoicacid	1071	307.2637	1.6	8.1	C20H34O2	[M + H]+	0.44	PRHHYVQTPBEDFE
183	NA	27	NA	[2-hydroxy-3-[(2R,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxypropyl] (7Z,10Z,13Z)-hexadeca-7,10,13-trienoate	2205	509.2754	6.5	4	C25H42O9	[M + Na]+	0.4	PSRSTOVXIJTKGG
820	NA	39	NA	null	3286	271.1639	-5	3.4	C13H22N2O4	[M + H]+	0.49	RAIXJOOYPRFWSP
854	3	17	NA	Oprea1_213609	3333	289.2187	8.5	4.1	C19H28O2	[M + H]+	0.51	RAJWOBJTTGJROA
1947	15	321	NA	7-acetyl-1,3-dimethylpurine-2,6-dione	6646	245.0626	-7.8	0.5	C9H10N4O3	[M + Na]+	0.19	RCDRLZYAKDYXMM
800	NA	26	NA	Dimethylguanosine	2231	312.13	-0.8	0.7	C12H17N5O5	[M + H]+	0.99	RSPURTUNRHNVGF
670	8	95	NA	null	1184	595.4932	-0.1	8.9	C36H66O6	[M + H]+	0.45	RWXWCAZLEFJOFU
289	22	185	NA	7a-Hydroxy-3-oxo-4-cholestenoicacid	1104	431.3145	-2.5	6.4	C27H42O4	[M + H]+	0.85	SATGKQGFUDXGAX
835	NA	25	NA	L-alpha-glutamyl-L-valyl-L-valine	5569	346.2002	8.5	3.2	C15H27N3O6	[M + H]+	0.43	SOYWRINXUSUWEQ
2799	NA	34	NA	O-DC16:0-L-carnitine(1-)	4010	430.3178	3.4	5.2	C23H43NO6	[M + H]+	0.79	UNHCPLSWMNPZTD
814	NA	24	NA	N6-Threonylcarbamoyladenosine	2199	413.141	-1.4	2.1	C15H20N6O8	[M + H]+	0.7	UNUYMBPXEFMLNW
885	103	37	NA	Tocris-0526	1161	260.1839	-6.6	3	C13H25NO4	[M + H]+	0.91	VVPRQWTYSNDTEA
2816	39	98	NA	2,2''-cyclohexane-1,2-diyldiacetic acid	3021	223.0933	-3.7	3.7	C10H16O4	[M + Na]+	0.52	VWLPAWSXKLKROQ
469	NA	38	NA	Diacylglycerol(18:3n6/15:0)	1770	577.4824	-0.5	8.5	C36H64O5	[M + H]+	0.73	XPGUEPBYNVJPCL
3865	24	319	NA	1,10-Bis(4-carboxyphenoxy)decane	1671	415.2115	-0.2	5.9	C24H30O6	[M + H]+	0.4	XRDKWFXOXXUQJS
1110	NA	30	L-THYROXINE	eltroxin	1960	777.6948	1	4.7	C15H11I4NO4	[M + H]+	0.99	XUIIKFGFIJCVMT
755	NA	48	NA	O-DC8:0carnitine(1-)	1999	318.1897	-4.4	2.5	C15H27NO6	[M + H]+	0.83	YVWVEIPYMGBQPE
183	NA	27	NA	3-beta,19,21-Triacetoxy-14-iso-17-isopregnane-5,14-diol-20-one	4977	509.2733	-2.3	4.2	C27H40O9	[M + H]+	0.54	ZTWWQCOHUBHIGI
736	18	44	NA	NA	1446	168.0634	-4.7	0.4	C6H7N4O2	[M + H]+	NA	NA
